time	I(R_load)
Step Information: Rload=500m  (Step: 1/2)
5.324842438540032e-07	9.247265e-08
5.424842438540032e-07	9.711817e-08
5.524842438540032e-07	1.018917e-07
5.624842438540032e-07	1.067932e-07
5.724842438540032e-07	1.118227e-07
5.824842438540032e-07	1.169802e-07
5.924842438540032e-07	1.222656e-07
6.024842438540033e-07	1.276786e-07
6.124842438540033e-07	1.332191e-07
6.224842438540033e-07	1.388866e-07
6.324842438540033e-07	1.446810e-07
6.424842438540033e-07	1.506017e-07
6.524842438540033e-07	1.566482e-07
6.624842438540033e-07	1.628201e-07
6.724842438540033e-07	1.691167e-07
6.824842438540033e-07	1.755375e-07
6.924842438540033e-07	1.820817e-07
7.024842438540034e-07	1.887485e-07
7.124842438540034e-07	1.955373e-07
7.224842438540034e-07	2.024471e-07
7.324842438540034e-07	2.094771e-07
7.424842438540034e-07	2.166262e-07
7.524842438540034e-07	2.238936e-07
7.624842438540034e-07	2.312782e-07
7.724842438540034e-07	2.387789e-07
7.824842438540034e-07	2.463946e-07
7.924842438540034e-07	2.541240e-07
8.024842438540035e-07	2.619661e-07
8.124842438540035e-07	2.699195e-07
8.224842438540035e-07	2.779830e-07
8.324842438540035e-07	2.861551e-07
8.424842438540035e-07	2.944346e-07
8.524842438540035e-07	3.028200e-07
8.624842438540035e-07	3.113099e-07
8.724842438540035e-07	3.199027e-07
8.824842438540035e-07	3.285969e-07
8.924842438540035e-07	3.373909e-07
9.024842438540036e-07	3.462833e-07
9.124842438540036e-07	3.552722e-07
9.224842438540036e-07	3.643561e-07
9.324842438540036e-07	3.735333e-07
9.424842438540036e-07	3.828020e-07
9.524842438540036e-07	3.921604e-07
9.624842438540036e-07	4.016068e-07
9.724842438540035e-07	4.111394e-07
9.824842438540034e-07	4.207562e-07
9.924842438540033e-07	4.304554e-07
1.002484243854003e-06	4.402351e-07
1.012484243854003e-06	4.500933e-07
1.022484243854003e-06	4.600282e-07
1.032484243854003e-06	4.700376e-07
